date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:58	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Sep%202018%2015:52:58%20GMT	http://galaxyanalytics.net/robots.txt		(from )
12:52:58	37042/37042	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:03:06%20GMT	http://galaxyanalytics.net/demos/psycology/	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/index.html	(from )
12:53:01	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Thu,%2001%20Feb%202018%2020:24:58%20GMT	http://galaxyanalytics.net/demos/psycology/img/favicon.ico	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/img/favicon.ico	(from http://galaxyanalytics.net/demos/psycology/)
12:53:01	20673/20673	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2020:24:56%20GMT	http://galaxyanalytics.net/demos/psycology/css/swiper.css	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/css/swiper.css	(from http://galaxyanalytics.net/demos/psycology/)
12:53:01	121260/121260	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2020:54:04%20GMT	http://galaxyanalytics.net/demos/psycology/css/bootstrap.min.css	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/css/bootstrap.min.css	(from http://galaxyanalytics.net/demos/psycology/)
12:53:02	8791/8791	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2020:24:56%20GMT	http://galaxyanalytics.net/demos/psycology/css/sumoselect.css	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/css/sumoselect.css	(from http://galaxyanalytics.net/demos/psycology/)
12:53:02	29063/29063	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2020:24:54%20GMT	http://galaxyanalytics.net/demos/psycology/css/font-awesome.min.css	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/css/font-awesome.min.css	(from http://galaxyanalytics.net/demos/psycology/)
12:53:03	4841/4841	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2020:24:54%20GMT	http://galaxyanalytics.net/demos/psycology/css/flaticon.css	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/css/flaticon.css	(from http://galaxyanalytics.net/demos/psycology/)
12:53:04	121544/121544	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202018%2021:25:34%20GMT	http://galaxyanalytics.net/demos/psycology/css/style.css	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/css/style.css	(from http://galaxyanalytics.net/demos/psycology/)
12:53:05	37042/37042	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:03:06%20GMT	http://galaxyanalytics.net/demos/psycology/index.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/index-2.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:06	33155/33155	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:09:32%20GMT	http://galaxyanalytics.net/demos/psycology/index-2.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/index-3.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:08	37679/37679	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:09:44%20GMT	http://galaxyanalytics.net/demos/psycology/index-3.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/index-4.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:08	33910/33910	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:09:58%20GMT	http://galaxyanalytics.net/demos/psycology/index-4.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/index-5.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:09	32343/32343	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:10:14%20GMT	http://galaxyanalytics.net/demos/psycology/index-5.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/index-6.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:10	19169/19169	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:03:08%20GMT	http://galaxyanalytics.net/demos/psycology/services.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/services.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:10	16629/16629	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2021:03:14%20GMT	http://galaxyanalytics.net/demos/psycology/stress-management.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/stress-management.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:11	16731/16731	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:58:22%20GMT	http://galaxyanalytics.net/demos/psycology/depression-treatment.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/depression-treatment.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:12	16548/16548	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:58:20%20GMT	http://galaxyanalytics.net/demos/psycology/couple-counselling.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/couple-counselling.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:12	4038/4038	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202018%2020:24:58%20GMT	http://galaxyanalytics.net/demos/psycology/img/logo.png	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/img/logo.png	(from http://galaxyanalytics.net/demos/psycology/)
12:53:12	16634/16634	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:57:50%20GMT	http://galaxyanalytics.net/demos/psycology/anxiety-treatment.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/anxiety-treatment.html	(from http://galaxyanalytics.net/demos/psycology/)
12:53:13	16728/16728	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202018%2020:58:44%20GMT	http://galaxyanalytics.net/demos/psycology/elderly-issues.html	C:/Users/david/Documents/Projetos/Templates/psychology%20care/galaxyanalytics.net/demos/psycology/elderly-issues.html	(from http://galaxyanalytics.net/demos/psycology/)
